cofactor1	cofactor2	cofactor3	cofactor4	cofactor5	cofactor6	cofactor7	cofactor8	cofactor9	cofactor10	cofactor11	cofactor12	cofactor13	cofactor14	cofactor15	cofactor16
FST															
BAMBI															
TIE1															
PTPRB															
NBL1	GREM1	GREM2	CHRD	NOG	BMP3	LEFTY1	LEFTY2								
BAMBI															
ENG															
KLB															
KL															
IL17RD															
LEAP2															
BOC	GAS1	LRP2	CDON												
HHIP															
IGFBP1	IGFBP2	IGFBP3	IGFBP4	IGFBP5	IGFBP6										
IL1RN															
GPC4															
PTPRF	ENPP1														
RYK	ROR2	ROR1													
NGFR															
FST															
LEFTY1	LEFTY2	INHBA	INHBB	INHBC	INHBE										
SPARC															
AGRP															
FST	THBS1														
LEFTY1	LEFTY2	INHBA	INHBB	INHBC	INHBE	FMOD	DCN	LTBP1	EMILIN1						
BAMBI															
NRP1	NRP2														
BAMBI															
PORCN	RSPO1	RSPO2	RSPO3	RSPO4											
DKK1	DKK2	DKK4	SERPINF1	SOST	WIF1	CER1	NOTUM	SFRP1	SFRP2	SFRP4	SFRP5	IGFBP4	DRAXIN	SOSTDC1	FRZB
ZNRF3	RNF43	APCDD1													
