"interaction_name","pathway_name","ligand","receptor","agonist","antagonist","co_A_receptor","co_I_receptor","annotation","interaction_name_2","id_cp_interaction","annotation_strategy","source","is_ppi","curator","reactome_complex","reactome_reaction","reactome_pathway","complexPortal_complex","comments","version","modulatory_effect"
"CDH1-ITGA2+ITGB1","Cadherin","CDH1","integrin_a2b1_complex","","","","","Adhesion-Adhesion","CDH1-ITGA2+ITGB1",NA,"curated","PMID:12392763","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"CDH1-ITGAE+ITGB7","Cadherin","CDH1","integrin_aEb7_complex","","","","","Adhesion-Adhesion","CDH1-ITGAE+ITGB7",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"CDH1-KLRG1","Cadherin","CDH1","KLRG1","","","","","Ligand-Receptor","CDH1-KLRG1",NA,"curated","PMC3030123","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"CDH2-CDH2","Cadherin","CDH2","CDH2","","","","","Adhesion-Adhesion","CDH2-CDH2",NA,"curated","uniprot","True","LGarciaAlonso","","","",NA,"","CellPhoneDBcore<=4.1",""
"CDH2-FCER2","Cadherin","CDH2","FCER2","","","","","Ligand-Receptor","CDH2-FCER2",NA,"curated","Shilts screen - VALIDATED","True","JShilts","","","",NA,"","CellPhoneDBcore4.1",""
"CDH3-CDH3","Cadherin","CDH3","CDH3","","","","","Adhesion-Adhesion","CDH3-CDH3",NA,"curated","uniprot","True","LGarciaAlonso","","","",NA,"","CellPhoneDBcore<=4.1",""
"CDH5-CDH5","Cadherin","CDH5","CDH5","","","","","Adhesion-Adhesion","CDH5-CDH5",NA,"curated","uniprot","True","LGarciaAlonso","","","",NA,"","CellPhoneDBcore<=4.1",""
"CDH6-CDH6","Cadherin","CDH6","CDH6","","","","","Adhesion-Adhesion","CDH6-CDH6",NA,"curated","uniprot","True","LGarciaAlonso","","","",NA,"","CellPhoneDBcore<=4.1",""
"CDH7-CDH7","Cadherin","CDH7","CDH7","","","","","Adhesion-Adhesion","CDH7-CDH7",NA,"curated","uniprot","True","LGarciaAlonso","","","",NA,"","CellPhoneDBcore<=4.1",""
"CADM1-CADM1","CADM","CADM1","CADM1","","","","","Adhesion-Adhesion","CADM1-CADM1",NA,"curated","PMID:24503895","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"CADM1-NECTIN3","CADM","CADM1","NECTIN3","","","","","Adhesion-Adhesion","CADM1-NECTIN3",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"CADM3-CADM1","CADM","CADM3","CADM1","","","","","Adhesion-Adhesion","CADM3-CADM1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"CADM3-CADM4","CADM","CADM3","CADM4","","","","","Adhesion-Adhesion","CADM3-CADM4",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"CADM3-EPB41L1","CADM","CADM3","EPB41L1","","","","","Adhesion-Adhesion","CADM3-EPB41L1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"CADM3-NECTIN3","CADM","CADM3","NECTIN3","","","","","Adhesion-Adhesion","CADM3-NECTIN3",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"CEACAM1-CD209","CEAM","CEACAM1","CD209","","","","","Adhesion-Adhesion","CEACAM1-CD209",NA,"curated","PMID:16282604;PMID:16246332","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"CEACAM1-CEACAM6","CEAM","CEACAM1","CEACAM6","","","","","Adhesion-Adhesion","CEACAM1-CEACAM6",NA,"curated","PMID:21982860","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
