id_interaction,id_cp_interaction,multidata_1_id,multidata_2_id,source,annotation_strategy,curator,is_ppi
0,CPI-CS0A5B6BD7A,1364,797,HMRbase;uniprot;reactome,curated,LGarciaAlonso,False
1,CPI-CS047D9C0D7,1532,797,HMRbase;uniprot;reactome,curated,LGarciaAlonso,False
2,CPI-CS04A56D5BE,1364,1004,HMRbase;uniprot;reactome,curated,LGarciaAlonso,False
3,CPI-CS0F5B070C5,1532,1004,HMRbase;uniprot;reactome,curated,LGarciaAlonso,False
4,CPI-CS08D535BCF,1365,9,HMRbase;uniprot,curated,LGarciaAlonso,False
5,CPI-CS01C347639,1366,9,HMRbase;uniprot,curated,LGarciaAlonso,False
6,CPI-CS019C00E02,1397,9,HMRbase,curated,LGarciaAlonso,False
7,CPI-CS03629A52A,1367,421,reactome,curated,LGarciaAlonso,False
8,CPI-CS007D418BE,1368,421,reactome,curated,LGarciaAlonso,False
9,CPI-CS0C6F86DF5,1367,543,reactome,curated,LGarciaAlonso,False
10,CPI-CS030959ED1,1368,543,reactome,curated,LGarciaAlonso,False
11,CPI-CS045C37E64,1367,1072,reactome,curated,LGarciaAlonso,False
12,CPI-CS01F7D06F1,1368,1072,reactome,curated,LGarciaAlonso,False
13,CPI-CS072C12EF4,1369,23,HMRbase,curated,LGarciaAlonso,False
14,CPI-CS0B678BD26,1565,23,HMRbase,curated,LGarciaAlonso,False
15,CPI-CS016CDFE07,1370,897,HMRbase;uniprot,curated,LGarciaAlonso,False
16,CPI-SS0F66EA6BE,237,457,reactome,curated,LGarciaAlonso,True
17,CPI-SS030BB46BB,221,457,PMID:22610094;reactome,curated,RVentoTormo,True
18,CPI-SS05B2931D3,678,457,reactome,curated,LGarciaAlonso,True
19,CPI-SS057DF25C1,869,457,reactome,curated,LGarciaAlonso,True
20,CPI-CS0C94B5884,1539,457,HMRbase;uniprot,curated,LGarciaAlonso,False
21,CPI-CS0FC36F030,1540,457,HMRbase;uniprot,curated,LGarciaAlonso,False
22,CPI-SS05F45873A,301,457,reactome,curated,LGarciaAlonso,True
23,CPI-SS06190D4BE,5,457,uniprot,curated,LGarciaAlonso,True
24,CPI-SS07ACDDCD6,237,908,uniprot,curated,LGarciaAlonso,True
25,CPI-SS097A84265,237,118,uniprot,curated,LGarciaAlonso,True
26,CPI-SS012E7C8B8,1305,118,Shilts screen - VALIDATED,curated,JShilts,True
27,CPI-SC0E89A4EF0,237,1610,uniprot;PMID:27477013,curated,LGarciaAlonso,True
