id_complex_composition,complex_multidata_id,protein_multidata_id,total_protein
0,1355,1113,1
1,1356,1154,1
2,1357,1146,1
3,1358,1084,1
4,1359,1130,1
5,1360,1153,1
6,1361,1151,1
7,1362,1141,1
8,1363,1144,1
9,1364,1092,1
10,1365,1123,1
11,1366,1131,1
12,1367,1052,1
13,1368,863,1
14,1369,1155,1
15,1370,294,3
16,1370,1083,3
17,1370,401,3
18,1371,1089,1
19,1372,786,2
20,1372,721,2
21,1373,517,3
22,1373,379,3
23,1373,493,3
24,1374,517,2
25,1374,500,2
26,1375,517,3
27,1375,500,3
28,1375,493,3
29,1376,595,2
30,1376,379,2
31,1377,787,3
32,1377,595,3
33,1377,721,3
34,1378,787,3
35,1378,721,3
36,1378,500,3
37,1379,270,2
38,1379,288,2
39,1380,270,2
40,1380,238,2
41,1381,288,2
42,1381,238,2
43,1382,555,2
44,1382,466,2
45,1383,555,2
46,1383,757,2
47,1384,718,2
48,1384,466,2
49,1385,718,2
50,1385,754,2
51,1386,552,2
52,1386,466,2
53,1387,552,2
54,1387,754,2
55,1388,865,2
56,1388,466,2
57,1389,865,2
58,1389,754,2
59,1390,718,2
60,1390,757,2
61,1391,902,2
62,1391,843,2
63,1392,1095,1
64,1393,503,2
65,1393,105,2
66,1394,503,2
67,1394,106,2
68,1395,503,2
69,1395,107,2
70,1396,1098,1
71,1397,1079,1
72,1398,1121,1
73,1399,1133,1
74,1400,1101,1
75,1401,317,3
76,1401,273,3
77,1401,400,3
78,1402,435,2
79,1402,849,2
80,1403,1031,2
81,1403,141,2
82,1404,551,2
83,1404,757,2
84,1405,44,2
85,1405,757,2
86,1406,44,3
87,1406,757,3
88,1406,552,3
89,1407,551,2
90,1407,466,2
91,1408,551,2
92,1408,754,2
93,1409,44,2
94,1409,466,2
95,1410,44,2
96,1410,754,2
97,1411,1065,1
98,1412,864,2
99,1412,1091,2
100,1413,864,2
101,1413,845,2
102,1414,912,2
103,1414,1091,2
104,1415,912,2
105,1415,845,2
106,1416,846,2
107,1416,1091,2
108,1417,846,2
