Gene Synonym,Gene Name
NR1B3,RARG
COL29A1,COL6A5
VWA4,COL6A5
FGF2A,FGF2
PPARG5,PPARG
NR1C1,PPARA
FZD3,FZD9
FZD9,FZD3
MPIF2,CCL24
SCYA24,CCL24
APO2,TNFRSF10A
DR4,TNFRSF10A
TRAILR1,TNFRSF10A
GPRC1H,GRM8
MGLUR8,GRM8
AGRT,AGRP
ART,AGRP
PAR3,F2RL2
EBAF,LEFTY2
LEFTA,LEFTY2
LEFTYA,LEFTY2
TGFB4,LEFTY2
TUBL1,TULP1
OCIF,TNFRSF11B
OPG,TNFRSF11B
EAAT5,SLC1A7
CCR11,ACKR4
CCR6,CCRL2
CKRX,CCR6
CRAM,CCR6
HCR,CCR6
CCRL2,CCR6
GDNFRB,GFRA2
RETL2,GFRA2
TRNR2,GFRA2
AGRIN,AGRN
CALL,CHL1
BONZO,CXCR6
STRL33,CXCR6
TYMSTR,CXCR6
RNASE6PL,RNASET2
SCYA21,CCL21
CCBP2,ACKR4
CCR10,ACKR2
CMKBR9,CCR10
D6,CCR10
ACKR2,CCR10
PCLP,PODXL
PCLP1,PODXL
MDC,CCL22
SCYA22,CCL22
NTAK,NRG2
BAI1,ADGRB1
ITAC,CXCL11
SCYB11,CXCL11
SCYB9B,CXCL11
MGST1L1,PTGES
MPGES1,PTGES
PGES,PTGES
PIG12,PTGES
RODH,HSD17B6
SDR9C6,HSD17B6
DR5,TNFRSF10B
KILLER,TNFRSF10B
TRAILR2,TNFRSF10B
TRICK2,TNFRSF10B
ZTNFR9,TNFRSF10B
NRP,NRP1
VEGF165R,NRP1
OPGL,TNFSF11
RANKL,TNFSF11
TRANCE,TNFSF11
GDF8,MSTN
DCR1,TNFRSF10C
LIT,TNFRSF10C
TRAILR3,TNFRSF10C
TRID,TNFRSF10C
TACI,TNFRSF13B
WNT14,WNT9A
WNT14B,WNT9B
WNT15,WNT9B
TIP1,TAX1BP3
1C7,NCR3
LY117,NCR3
KIAA0315,PLXNB2
KIAA0331,SEMA3E
SEMAH,SEMA3E
OBR,LEPR
LEPROT,LEPR
GPRC1F,GRM6
MGLUR6,GRM6
GluN2D,GRIN2D
NMDAR2D,GRIN2D
SCYA25,CCL25
TECK,CCL25
ILINCK,CCL16
NCC4,CCL16
SCYA16,CCL16
CYP1ALPHA,CYP27B1
CYP27B,CYP27B1
KIAA0405,FLRT2
KIAA0407,PLXNB1
PLXN5,PLXNB1
SEP,PLXNB1
GPR38,MLNR
MTLR,MLNR
MTLR1,MLNR
KIAA0416,LRRTM2
LRRN2,LRRTM2
GLURD2,GRID2
APO3L,TNFSF12
DR3LG,TNFSF12
HVEML,TNFSF14
LIGHT,TNFSF14
GALNR2,GALR2
OX,HCRT
PPORX,HCRT
PPOX,HCRT
DAP12,TYROBP
KARAP,TYROBP
FIGF,VEGFD
EPLG6,EFNA2
LERK6,EFNA2
BCA1,CXCL13
BLC,CXCL13
SCYB13,CXCL13
BAI2,ADGRB2
BAI3,ADGRB3
KIAA0550,ADGRB3
VEGF165R2,NRP2
VESPR,PLXNC1
IFCR,CUBN
GALNR3,GALR3
ETBRLP2,GPR37L1
KIAA0463,PLXNA2
OCT,PLXNA2
PLXN2,PLXNA2
KIAA0813,SLIT1
MEGF4,SLIT1
SLIL1,SLIT1
KIAA0816,LRP4
LRP10,LRP4
MEGF7,LRP4
B7H2,ICOSLG
B7RP1,ICOSLG
ICOSL,ICOSLG
KIAA0653,ICOSLG
LR3,LRP5
LRP7,LRP5
CD108,SEMA7A
SEMAL,SEMA7A
ZMYND5,SPN
DEAF1,SPN
PXR,NR1I2
GPR49,LGR5
GPR67,LGR5
DR6,TNFRSF21
LEFTB,LEFTY1
LEFTYB,LEFTY1
ATP6IP2,ATP6AP2
CAPER,ATP6AP2
ELDF10,ATP6AP2
APRIL,TNFSF13
TALL2,TNFSF13
ZTNF2,TNFSF13
GPR51,GABBR2
GPRC3B,GABBR2
RALDH2,ALDH1A2
SLIL3,SLIT2
KIAA0821,ADGRL1
LEC2,ADGRL1
LPHN1,ADGRL1
GLS1,GLS
KIAA0838,GLS
KIAA0848,SLITRK3
CS1,CLSTN1
KIAA0911,CLSTN1
KIAA0918,SLITRK5
LRRC11,SLITRK5
EDG5,S1PR2
TL1,TNFSF15
VEGI,TNFSF15
UNC5H3,UNC5C
IL1R7,IL18RAP
PZR,MPZL1
BMP11,GDF11
DCR3,TNFRSF6B
TR6,TNFRSF6B
ABC1,ABCA1
CERP,ABCA1
KIAA0786,ADGRL2
LEC1,ADGRL2
LPHH1,ADGRL2
LPHN2,ADGRL2
NTN1L,NTN1
MIP2G,CXCL14
NJAC,CXCL14
SCYB14,CXCL14
C9orf26,IL33
IL1F11,IL33
NFHEV,IL33
DAND4,CER1
BY55,CD160
GDF9B,BMP15
ALDC,ALDH1A1
ALDH1,ALDH1A1
PUMB1,ALDH1A1
ERBB,EGFR
ERBB1,EGFR
HER1,EGFR
SERPINA8,AGT
CPAMD1,C3
CPAMD4,C5
BDK,KNG1
KNG,KNG1
PDGF2,PDGFB
SIS,PDGFB
TGFB,TGFB1
NGFB,NGF
GNRH,GNRH1
GRH,GNRH1
LHRH,GNRH1
ANP,NPPA
PND,NPPA
OT,OXT
ARVP,AVP
VP,AVP
CALC1,CALCA
GHRF,GHRH
PNP,PPY
GAS,GAST
TNFB,LTA
TNFSF1,LTA
TNFA,TNF
TNFSF2,TNF
,CGB3
IFNA13,IFNA1
IFNA2A,IFNA2
IFNA2B,IFNA2
IFNA2C,IFNA2
IFB,IFNB1
IFNB,IFNB1
IL1F1,IL1A
IL1F2,IL1B
MAL,CD8A
HLAB,HLA-B
ACHRA,CHRNA1
CHNRA,CHRNA1
FN,FN1
CTAP3,PPBP
CXCL7,PPBP
SCYB7,PPBP
TGB1,PPBP
THBGB1,PPBP
CXCL4,PF4
SCYB4,PF4
INP10,CXCL10
SCYB10,CXCL10
FTH,FTH1
FTHL6,FTH1
ESR,ESR1
NR3A1,ESR1
MIF,AMH
ANX1,ANXA1
LPC1,ANXA1
PDGF1,PDGFA
GMCSF,CSF2
GRL,NR3C1
ALTPRP,PRNP
PRIP,PRNP
PRP,PRNP
DHLAG,CD74
F8VWF,VWF
HLAA,HLA-A
HER2,ERBB2
MLN19,ERBB2
NEU,ERBB2
NGL,ERBB2
INT1,WNT1
MTC,NTRK1
TRK,NTRK1
TRKA,NTRK1
IBP1,IGF1
A4,APP
AD1,APP
CYP17,CYP17A1
S17AH,CYP17A1
GP3A,ITGB3
CD18,ITGB2
MFI7,ITGB2
CYP11A,CYP11A1
FGFA,FGF1
IFNB2,IL6
FNRB,ITGB1
MDF2,ITGB1
MSK12,ITGB1
NR3C3,PGR
SRBC,CD2
CEA,CEACAM5
CD23A,FCER2
CLEC4J,FCER2
FCE2,FCER2
IGEBF,FCER2
MSK8,ITGAV
VNRA,ITGAV
VTNR,ITGAV
THRM,THBD
ERBA2L,P4HB
PDI,P4HB
PDIA1,P4HB
PO4DB,P4HB
FMS,CSF1R
ACHRG,CHRNG
ADRB2R,ADRB2
B2AR,ADRB2
GLBA,PSAP
SAP1,PSAP
CDHF12,RET
CDHR16,RET
PTC,RET
RET51,RET
TSP,THBS1
TSP1,THBS1
TNFRSF16,NGFR
CR,CD55
DAF,CD55
