id_interaction,id_cp_interaction,multidata_1_id,multidata_2_id,source,annotation_strategy,is_ppi,curator,directionality,classification
0,CPI-SC0A2DB962D,329,1507,PMID:12392763,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Cadherin
1,CPI-SC0B5CEA47D,716,1507,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
2,CPI-SC0C8B7BCBB,322,1507,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
3,CPI-SC0D3C12C3F,343,1507,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
4,CPI-SC0B86B7CED,930,1507,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
5,CPI-SC0FA343CEF,810,1507,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
6,CPI-SC0CCCF9A7F,720,1507,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
7,CPI-SC0E85E1FB0,1347,1507,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
8,CPI-SC0956F4A31,725,1507,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
9,CPI-SC06EEEC092,1042,1507,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
10,CPI-SC04BD52124,1348,1507,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
11,CPI-SC0BDD04147,775,1507,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
12,CPI-SC04BCFC59C,197,1507,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
13,CPI-SC03D0A4AD2,264,1507,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
14,CPI-SC0D5DDAD29,1012,1507,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
15,CPI-SC0D10396B4,911,1507,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
16,CPI-SC04D3AE2F6,869,1507,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
17,CPI-SC088A27EA5,799,1507,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
18,CPI-SC0F179D307,903,1507,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
19,CPI-SC044C2FDA4,852,1507,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
20,CPI-SC04251A46C,804,1507,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
21,CPI-SC09C62F412,198,1507,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
22,CPI-SC06A152CC0,199,1507,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
23,CPI-SC03515B178,200,1507,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
24,CPI-SC046604E76,272,1507,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
25,CPI-SC0926FDACC,703,1507,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
26,CPI-SC072376C7B,648,1507,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
27,CPI-SC0C287AFC3,1344,1507,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
28,CPI-SC0FDD31EAB,758,1507,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
29,CPI-SC0681DB40E,413,1507,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
30,CPI-SC0345262E7,245,1507,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
31,CPI-SC0D5418330,1340,1507,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
32,CPI-SC0CCB0D955,323,1507,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
33,CPI-SC01A5C5096,324,1507,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
34,CPI-SC084C79E20,325,1507,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
35,CPI-SC0A6F94686,34,1507,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
36,CPI-SC00D0AFED0,33,1507,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
37,CPI-SC05640277E,708,1507,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
38,CPI-SC0B3564B15,1343,1507,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
39,CPI-SC0F94B7D8F,450,1507,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
40,CPI-SC00065C95C,412,1507,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
41,CPI-SC0A916E0E2,760,1507,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
42,CPI-SC0BB68FB34,759,1507,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
43,CPI-SC01D1C56CC,208,1507,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Fibronectin
44,CPI-SC0A460766C,314,1507,uniprot,curated,True,RVentoTormo,Ligand-Receptor,Adhesion by Laminin
45,CPI-SC09D882C18,329,1519,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Cadherin
46,CPI-SS0CC5DCE80,329,906,PMC3030123,curated,True,RVentoTormo,Ligand-Receptor,Adhesion by Cadherin
47,CPI-SS0EE09A201,391,391,uniprot,curated,True,LGarciaAlonso,Adhesion-Adhesion,Adhesion by Cadherin
48,CPI-SS0ADFF0666,391,251,Shilts screen - VALIDATED,curated,True,JShilts,Ligand-Receptor,Adhesion by Cadherin
49,CPI-SS0DA0F5556,432,432,uniprot,curated,True,LGarciaAlonso,Adhesion-Adhesion,Adhesion by Cadherin
50,CPI-SS00C24ED50,1346,1346,uniprot,curated,True,LGarciaAlonso,Adhesion-Adhesion,Adhesion by Cadherin
51,CPI-SS0C53F7672,662,662,uniprot,curated,True,LGarciaAlonso,Adhesion-Adhesion,Adhesion by Cadherin
52,CPI-SS0BE3D537D,1035,1035,uniprot,curated,True,LGarciaAlonso,Adhesion-Adhesion,Adhesion by Cadherin
53,CPI-SS0889E281D,945,945,PMID:24503895,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by CADM
54,CPI-SS09C06644C,856,945,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by CADM
55,CPI-SS0C9696AAA,134,945,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,
56,CPI-SS0B990492C,945,989,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by CADM
57,CPI-SS00550260E,856,989,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by CADM
58,CPI-SS0C5E9FBFB,777,989,PMID:12740392,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Nectin
59,CPI-SS02FBD007E,891,989,PMID:19011627;PMID:12740392,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Nectin
60,CPI-SS02D18D12B,856,871,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by CADM
61,CPI-SS0B3829651,856,966,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by CADM
62,CPI-SS055B305F1,340,980,PMID:16282604;PMID:16246332,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by CEAM
63,CPI-SS0544D2759,338,980,uniprot,curated,True,LGarciaAlonso,Ligand-Receptor,Adhesion by ICAM
64,CPI-SS0A2949959,522,980,PMID:15795245,curated,True,RVentoTormo,Ligand-Receptor,Adhesion by ICAM
65,CPI-SS0A2D7895C,340,562,PMID:21982860,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by CEAM
66,CPI-SS0322747C2,250,562,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by CEAM
67,CPI-SS001BF66E8,562,562,PMID:11590190,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by CEAM
