id_protein,protein_name,tags,tags_reason,tags_description,protein_multidata_id
0,ESR1_HUMAN,,,,0
1,RORB_HUMAN,,,,1
2,ABCA1_HUMAN,,,,2
3,NR1H3_HUMAN,,,,3
4,GCR_HUMAN,,,,4
5,TAFA5_HUMAN,,,,5
6,PROCR_HUMAN,,,,6
7,TAFA4_HUMAN,,,,7
8,G37L1_HUMAN,,,,8
9,NR1H4_HUMAN,,,,9
10,AMRP_HUMAN,,,,10
11,RENR_HUMAN,,,,11
12,ANDR_HUMAN,,,,12
13,NXNL1_HUMAN,,,,13
14,NR1H2_HUMAN,,,,14
15,RORA_HUMAN,,,,15
16,THA_HUMAN,,,,16
17,RORG_HUMAN,,,,17
18,GP15L_HUMAN,,,,18
19,TSP2_HUMAN,,,,19
20,FRIH_HUMAN,,,,20
21,MCR_HUMAN,,,,21
22,PPARG_HUMAN,,,,22
23,PRGR_HUMAN,,,,23
24,THB_HUMAN,,,,24
25,FRIL_HUMAN,,,,25
26,PPARD_HUMAN,,,,26
27,NR1I2_HUMAN,,,,27
28,ESR2_HUMAN,,,,28
29,TAFA1_HUMAN,,,,29
30,VDR_HUMAN,,,,30
31,PPARA_HUMAN,,,,31
32,5HT3E_HUMAN,,,,32
33,CO6A6_HUMAN,,,Collagen,33
34,CO6A5_HUMAN,,,Collagen,34
35,KLRF2_HUMAN,To_comment,Extracellular_add,,35
36,HLAA,,,,36
37,HLAB,,,,37
38,HLAC,,,,38
39,FZD9_HUMAN,To_comment,Extracellular_add,,39
40,CCL24_HUMAN,,,,40
41,LEG9_HUMAN,To_comment,secretedhigh_add | peripheral_add,Ligand for HAVCR2/TIM3 (uniprot),41
42,TR10A_HUMAN,To_add,,TNF_receptor_add (uniprot),42
43,CORT_HUMAN,,,,43
44,BMR1B_HUMAN,,,,44
45,SIRB1_HUMAN,To_add | To_comment,Receptor_add,Iglike | Receptor_add,45
46,AGRP_HUMAN,,,,46
47,LFTY2_HUMAN,,,,47
48,TULP1_HUMAN,,,,48
49,TR11B_HUMAN,,,,49
50,CCRL2_HUMAN,,,,50
51,GFRA2_HUMAN,,,,51
52,AGRIN_HUMAN,,,,52
53,DLL1_HUMAN,,,,53
54,CXCR6_HUMAN,,,,54
55,RNT2_HUMAN,,,,55
56,CCL21_HUMAN,,,,56
57,ACKR2_HUMAN,,,,57
58,PODXL_HUMAN,,,Migration,58
59,CCL22_HUMAN,,,,59
60,WNT7A_HUMAN,,,,60
61,NRG2_HUMAN,,,,61
62,CXL11_HUMAN,,,,62
63,TR10B_HUMAN,To_add,,TNF_receptor_add (uniprot),63
64,NRP1_HUMAN,,,,64
65,TNF11_HUMAN,,,,65
66,GDF8_HUMAN,,,,66
67,TR10C_HUMAN,,,,67
68,TR13B_HUMAN,To_add,,TNF_family (uniprot),68
69,WNT9A_HUMAN,,,,69
70,WNT9B_HUMAN,,,,70
71,NCTR3_HUMAN,To_comment,Extracellular_add,,71
72,EREG_HUMAN,,,,72
73,PLXB2_HUMAN,,,,73
74,SEM3E_HUMAN,,,,74
75,ANGP2_HUMAN,,,,75
76,MUSK_HUMAN,,,,76
77,GPR37_HUMAN,,,,77
78,CCL25_HUMAN,,,,78
79,CCL16_HUMAN,,,,79
80,FGF10_HUMAN,,,,80
81,PLXB1_HUMAN,,,Migration,81
82,MTLR_HUMAN,,,,82
83,DHH_HUMAN,,,,83
84,TNF12_HUMAN,,,,84
85,GON2_HUMAN,,,,85
86,TNF14_HUMAN,,,,86
87,GALR2_HUMAN,,,,87
88,OREX_HUMAN,To_add | To_comment,secreted_add | extracellular_add,Genecards: hypothalamic neuropeptide precursor protein,88
89,OX1R_HUMAN,,,,89
90,OX2R_HUMAN,,,,90
91,TYOBP_HUMAN,To_add,,complex,91
92,VEGFD_HUMAN,,,,92
93,EFNA2_HUMAN,To_comment,extracellular_add,ligandIUPHAR,93
94,CXL13_HUMAN,,,,94
95,FGF17_HUMAN,,,,95
96,FZD6_HUMAN,To_comment,Extracellular_add,,96
97,GDF9_HUMAN,,,,97
98,NRP2_HUMAN,To_add | To_comment,secretedhigh_add,High affinity receptor for semaphorins | Growthfactor (uniprot),98
99,DSCAM_HUMAN,,,,99
100,PLXC1_HUMAN,To_add | To_comment,transmembrane_add | receptor_add | extracellular_add,"Uniprot: Receptor for SEMA7A, for smallpox semaphorin A39R, vaccinia virus semaphorin A39R and for herpesvirus Sema protein",100
101,CUBN_HUMAN,,,,101
102,PSPN_HUMAN,,,,102
103,GFRA3_HUMAN,,,,103
104,GALR3_HUMAN,,,,104
105,RAMP1_HUMAN,To_add,,complex,105
106,RAMP2_HUMAN,To_add,,complex,106
107,RAMP3_HUMAN,,,,107
108,PLXA2_HUMAN,,,,108
109,FZD7_HUMAN,To_comment,Extracellular_add,,109
110,SLIT1_HUMAN,,,,110
111,LRP4_HUMAN,To_add,,ligandIUPHAR,111
112,ICOSL_HUMAN,To_add|To_comment,Extracellular_add,Iglike,112
113,LRP5_HUMAN,To_add | To_comment,extracellular_add,Component of the Wnt-Fzd-LRP5-LRP6 complex (uniprot),113
114,SEM7A_HUMAN,,,Possible_receptor,114
115,LGR5_HUMAN,,,,115
116,TNR21_HUMAN,,,,116
117,ITA10_HUMAN,To_add,,Integrin (uniprot),117
118,LRP6_HUMAN,,,,118
119,LFTY1_HUMAN,,,,119
120,TNF13_HUMAN,,,,120
121,SLIT2_HUMAN,,,,121
122,DKK1_HUMAN,,,,122
123,S1PR2_HUMAN,,,,123
124,TNF15_HUMAN,,,,124
125,UNC5C_HUMAN,,,,125
126,I18RA_HUMAN,To_add,,Iglike,126
127,5HT3B_HUMAN,,,,127
128,GDF11_HUMAN,,,,128
129,BMP10_HUMAN,,,,129
130,UTS2_HUMAN,,,,130
131,TNF6B_HUMAN,,,,131
132,NET1_HUMAN,,,,132
133,CXL14_HUMAN,,,,133
134,CRTAM_HUMAN,To_add | To_comment,Extracellular_add,Iglike | Possible_receptor,134
