Receptor,TF
ACVL1_ACVR2A,SMAD9
ACVL1_ACVR2A,SMAD1
ACVL1_ACVR2A,SMAD5
ACVL1_BMPR2,SMAD9
ACVL1_BMPR2,SMAD1
ACVL1_BMPR2,SMAD5
ACVR_1A2A_receptor,SMAD9
ACVR_1A2A_receptor,SMAD1
ACVR_1A2A_receptor,SMAD5
ACVR_1A2B_receptor,SMAD9
ACVR_1A2B_receptor,SMAD1
ACVR_1A2B_receptor,SMAD5
ACVR_1B2B_receptor,SMAD3
ACVR_1B2B_receptor,SMAD2
ACVR1_BMPR2,SMAD9
ACVR1_BMPR2,SMAD1
ACVR1_BMPR2,SMAD5
AGTR1,STAT1
AGTR1,STAT3
AGTR1,STAT5A
AGTR1,STAT5B
AGTR1,STAT6
AGTR1,STAT2
AR,AR
BMPR1A_BMPR2,SMAD9
BMPR1A_BMPR2,ZGLP1
BMPR1A_BMPR2,SMAD1
BMPR1A_BMPR2,SMAD5
BMPR1B_BMPR2,SMAD9
BMPR1B_BMPR2,ZGLP1
BMPR1B_BMPR2,SMAD1
BMPR1B_BMPR2,SMAD5
BMPR1B_BMPR2_ACVR1B,SMAD9
BMPR1B_BMPR2_ACVR1B,SMAD1
BMPR1B_BMPR2_ACVR1B,SMAD5
BMR1A_ACR2A,SMAD9
BMR1A_ACR2A,ZGLP1
BMR1A_ACR2A,SMAD1
BMR1A_ACR2A,SMAD5
BMR1A_AVR2B,SMAD9
BMR1A_AVR2B,ZGLP1
BMR1A_AVR2B,SMAD1
BMR1A_AVR2B,SMAD5
BMR1B_AVR2A,SMAD9
BMR1B_AVR2A,ZGLP1
BMR1B_AVR2A,SMAD1
BMR1B_AVR2A,SMAD5
BMR1B_AVR2B,SMAD9
BMR1B_AVR2B,ZGLP1
BMR1B_AVR2B,SMAD1
BMR1B_AVR2B,SMAD5
CXCR4,STAT3
CXCR4,STAT1
CXCR4,STAT6
CXCR4,STAT5A
CXCR4,STAT5B
CXCR4,STAT4
DCC,OTX2
EGFR,STAT3
EGFR,STAT1
EGFR,STAT5A
EGFR,STAT5B
EPHB2,ELK1
EPHB4,ELK1
EPOR,STAT3
EPOR,STAT1
EPOR,STAT5A
EPOR,STAT5B
ERBB4,STAT5A
ESR1,ESR1
ESR2,ESR2
FGFR2,ESR1
FSHR,FOXO3
FSHR,FOXO1
FZD7_LRP5,TBXT
FZD7_LRP6,TBXT
HNF4A,HNF4A
HNF4G,HNF4G
HRH1,NFKB1
IL1_receptor,NFKB1
IL10_receptor,STAT3
IL10_receptor,STAT1
IL10_receptor,STAT5A
IL10_receptor,STAT5B
IL12_receptor,STAT3
IL12_receptor,STAT1
IL12_receptor,STAT6
IL12_receptor,STAT5A
IL12_receptor,STAT5B
IL12_receptor,STAT4
IL2_receptor_I,STAT3
IL2_receptor_I,STAT1
IL2_receptor_I,STAT6
IL2_receptor_I,STAT5A
IL2_receptor_I,STAT5B
IL2_receptor_I,STAT4
IL3_receptor,STAT3
IL3_receptor,STAT1
IL3_receptor,STAT6
IL3_receptor,STAT5A
IL3_receptor,STAT5B
IL4_receptor,STAT6
