"Symbol","Name","EntrezGene.ID","Ensembl.Gene.ID","MGI.ID","Gene.group.name"
"A1BG","alpha-1-B glycoprotein",1,"ENSG00000121410","MGI:2152878","Immunoglobulin like domain containing"
"A1BG-AS1","A1BG antisense RNA 1",503538,"ENSG00000268895","","Antisense RNAs"
"A1CF","APOBEC1 complementation factor",29974,"ENSG00000148584","MGI:1917115","RNA binding motif containing"
"A2M","alpha-2-macroglobulin",2,"ENSG00000175899","MGI:2449119","C3 and PZP like, alpha-2-macroglobulin domain containing"
"A2M-AS1","A2M antisense RNA 1",144571,"ENSG00000245105","","Antisense RNAs"
"A2ML1","alpha-2-macroglobulin like 1",144568,"ENSG00000166535","","C3 and PZP like, alpha-2-macroglobulin domain containing"
"A2ML1-AS1","A2ML1 antisense RNA 1",NA,"ENSG00000256661","","Antisense RNAs"
"A2ML1-AS2","A2ML1 antisense RNA 2",NA,"ENSG00000256904","","Antisense RNAs"
"A2MP1","alpha-2-macroglobulin pseudogene 1",3,"ENSG00000256069","",""
"A3GALT2","alpha 1,3-galactosyltransferase 2",127550,"ENSG00000184389","MGI:2685279","Glycosyltransferase family 6"
"A4GALT","alpha 1,4-galactosyltransferase (P blood group)",53947,"ENSG00000128274","MGI:3512453","Blood group antigens|Alpha 1,4-glycosyltransferases"
"A4GNT","alpha-1,4-N-acetylglucosaminyltransferase",51146,"ENSG00000118017","MGI:2143261","Alpha 1,4-glycosyltransferases"
"AAAS","aladin WD repeat nucleoporin",8086,"ENSG00000094914","MGI:2443767","WD repeat domain containing|Nucleoporins"
"AACS","acetoacetyl-CoA synthetase",65985,"ENSG00000081760","MGI:1926144","Acyl-CoA synthetase family"
"AACSP1","acetoacetyl-CoA synthetase pseudogene 1",729522,"ENSG00000250420","",""
"AADAC","arylacetamide deacetylase",13,"ENSG00000114771","MGI:1915008","Arylacetamide deacetylase family|Lipases"
"AADACL2","arylacetamide deacetylase like 2",344752,"ENSG00000197953","MGI:3646333","Arylacetamide deacetylase family"
"AADACL2-AS1","AADACL2 antisense RNA 1",101928142,"ENSG00000242908","","Antisense RNAs"
"AADACL3","arylacetamide deacetylase like 3",126767,"ENSG00000188984","MGI:2685281","Arylacetamide deacetylase family"
"AADACL4","arylacetamide deacetylase like 4",343066,"ENSG00000204518","","Arylacetamide deacetylase family"
"AADACP1","arylacetamide deacetylase pseudogene 1",201651,"ENSG00000240602","",""
"AADAT","aminoadipate aminotransferase",51166,"ENSG00000109576","MGI:1345167",""
"AAGAB","alpha and gamma adaptin binding protein",79719,"ENSG00000103591","MGI:1914189",""
"AAK1","AP2 associated kinase 1",22848,"ENSG00000115977","MGI:1098687","Small nucleolar RNA protein coding host genes"
"AAMDC","adipogenesis associated Mth938 domain containing",28971,"ENSG00000087884","MGI:1913523",""
"AAMP","angio associated migratory cell protein",14,"ENSG00000127837","MGI:107809","WD repeat domain containing"
"AANAT","aralkylamine N-acetyltransferase",15,"ENSG00000129673","MGI:1328365","GCN5 related N-acetyltransferases"
"AAR2","AAR2 splicing factor",25980,"ENSG00000131043","MGI:1915545",""
"AARD","alanine and arginine rich domain containing protein",441376,"ENSG00000205002","MGI:2181621",""
"AARS1","alanyl-tRNA synthetase 1",16,"ENSG00000090861","MGI:2384560","Aminoacyl tRNA synthetases, Class II"
"AARS1P1","alanyl-tRNA synthetase 1 pseudogene 1",NA,"ENSG00000249038","",""
"AARS2","alanyl-tRNA synthetase 2, mitochondrial",57505,"ENSG00000124608","MGI:2681839","Aminoacyl tRNA synthetases, Class II"
"AARSD1","alanyl-tRNA synthetase domain containing 1",80755,"ENSG00000266967","MGI:1916934",""
"AASDH","aminoadipate-semialdehyde dehydrogenase",132949,"ENSG00000157426","MGI:2442517","Acyl-CoA synthetase family"
"AASDHPPT","aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase",60496,"ENSG00000149313","MGI:1914868",""
"AASS","aminoadipate-semialdehyde synthase",10157,"ENSG00000008311","MGI:1353573",""
"AATBC","apoptosis associated transcript in bladder cancer",284837,"ENSG00000215458","","Long non-coding RNAs with non-systematic symbols"
"AATF","apoptosis antagonizing transcription factor",26574,"ENSG00000275700","MGI:1929608","MicroRNA protein coding host genes"
"AATK","apoptosis associated tyrosine kinase",9625,"ENSG00000181409","MGI:1197518","MicroRNA protein coding host genes|Protein phosphatase 1 regulatory subunits|Receptor tyrosine kinases"
"AAVS1","adeno-associated virus integration site 1",17,"","",""
"ABALON","apoptotic BCL2L1-antisense long non-coding RNA",103021294,"ENSG00000281376","","Long non-coding RNAs with non-systematic symbols"
"ABAT","4-aminobutyrate aminotransferase",18,"ENSG00000183044","MGI:2443582",""
"ABCA1","ATP binding cassette subfamily A member 1",19,"ENSG00000165029","MGI:99607","ATP binding cassette subfamily A"
"ABCA2","ATP binding cassette subfamily A member 2",20,"ENSG00000107331","MGI:99606","ATP binding cassette subfamily A"
"ABCA3","ATP binding cassette subfamily A member 3",21,"ENSG00000167972","MGI:1351617","ATP binding cassette subfamily A"
"ABCA4","ATP binding cassette subfamily A member 4",24,"ENSG00000198691","MGI:109424","ATP binding cassette subfamily A"
"ABCA5","ATP binding cassette subfamily A member 5",23461,"ENSG00000154265","MGI:2386607","ATP binding cassette subfamily A"
"ABCA6","ATP binding cassette subfamily A member 6",23460,"ENSG00000154262","MGI:1923434","ATP binding cassette subfamily A|MicroRNA protein coding host genes"
"ABCA7","ATP binding cassette subfamily A member 7",10347,"ENSG00000064687","MGI:1351646","ATP binding cassette subfamily A"
"ABCA8","ATP binding cassette subfamily A member 8",10351,"ENSG00000141338","MGI:1351668, MGI:2386846","ATP binding cassette subfamily A"
"ABCA9","ATP binding cassette subfamily A member 9",10350,"ENSG00000154258","MGI:2386796","ATP binding cassette subfamily A"
"ABCA9-AS1","ABCA9 antisense RNA 1",NA,"ENSG00000231749","","Antisense RNAs"
"ABCA10","ATP binding cassette subfamily A member 10",10349,"ENSG00000154263","","ATP binding cassette subfamily A"
"ABCA11P","ATP binding cassette subfamily A member 11, pseudogene",79963,"ENSG00000251595","","ATP binding cassette subfamily A"
"ABCA12","ATP binding cassette subfamily A member 12",26154,"ENSG00000144452","MGI:2676312","ATP binding cassette subfamily A"
"ABCA13","ATP binding cassette subfamily A member 13",154664,"ENSG00000179869","MGI:2388707","ATP binding cassette subfamily A"
"ABCA17P","ATP binding cassette subfamily A member 17, pseudogene",650655,"ENSG00000238098","MGI:3625331","ATP binding cassette subfamily A"
"ABCB1","ATP binding cassette subfamily B member 1",5243,"ENSG00000085563","MGI:97570","ATP binding cassette subfamily B|CD molecules"
"ABCB4","ATP binding cassette subfamily B member 4",5244,"ENSG00000005471","MGI:97569","ATP binding cassette subfamily B"
"ABCB5","ATP binding cassette subfamily B member 5",340273,"ENSG00000004846","MGI:1924956","ATP binding cassette subfamily B"
"ABCB6","ATP binding cassette subfamily B member 6 (Langereis blood group)",10058,"ENSG00000115657","MGI:1921354","ATP binding cassette subfamily B|Blood group antigens"
"ABCB7","ATP binding cassette subfamily B member 7",22,"ENSG00000131269","MGI:109533","ATP binding cassette subfamily B"
"ABCB8","ATP binding cassette subfamily B member 8",11194,"ENSG00000197150","MGI:1351667","ATP binding cassette subfamily B"
"ABCB9","ATP binding cassette subfamily B member 9",23457,"ENSG00000150967","MGI:1861729","ATP binding cassette subfamily B"
"ABCB10","ATP binding cassette subfamily B member 10",23456,"ENSG00000135776","MGI:1860508","ATP binding cassette subfamily B"
"ABCB10P1","ABCB10 pseudogene 1",56476,"ENSG00000274099","",""
"ABCB10P3","ABCB10 pseudogene 3",728248,"ENSG00000261524","",""
"ABCB10P4","ABCB10 pseudogene 4",100132289,"ENSG00000260053","",""
"ABCB11","ATP binding cassette subfamily B member 11",8647,"ENSG00000073734","MGI:1351619","ATP binding cassette subfamily B"
"ABCC1","ATP binding cassette subfamily C member 1",4363,"ENSG00000103222","MGI:102676","ATP binding cassette subfamily C"
"ABCC2","ATP binding cassette subfamily C member 2",1244,"ENSG00000023839","MGI:1352447","ATP binding cassette subfamily C"
"ABCC3","ATP binding cassette subfamily C member 3",8714,"ENSG00000108846","MGI:1923658","ATP binding cassette subfamily C"
"ABCC4","ATP binding cassette subfamily C member 4",10257,"ENSG00000125257","MGI:2443111","ATP binding cassette subfamily C"
"ABCC5","ATP binding cassette subfamily C member 5",10057,"ENSG00000114770","MGI:1351644","ATP binding cassette subfamily C"
"ABCC5-AS1","ABCC5 antisense RNA 1",NA,"ENSG00000223882","","Antisense RNAs"
"ABCC6","ATP binding cassette subfamily C member 6",368,"ENSG00000091262","MGI:1351634","ATP binding cassette subfamily C"
"ABCC6P1","ATP binding cassette subfamily C member 6 pseudogene 1",653190,"ENSG00000256340","","Transcribed pseudogenes with published function"
"ABCC6P2","ATP binding cassette subfamily C member 6 pseudogene 2",730013,"ENSG00000255277","",""
"ABCC8","ATP binding cassette subfamily C member 8",6833,"ENSG00000006071","MGI:1352629","ATP binding cassette subfamily C"
"ABCC9","ATP binding cassette subfamily C member 9",10060,"ENSG00000069431","MGI:1352630","ATP binding cassette subfamily C"
"ABCC10","ATP binding cassette subfamily C member 10",89845,"ENSG00000124574","MGI:2386976","ATP binding cassette subfamily C|MicroRNA protein coding host genes"
"ABCC11","ATP binding cassette subfamily C member 11",85320,"ENSG00000121270","","ATP binding cassette subfamily C"
"ABCC12","ATP binding cassette subfamily C member 12",94160,"ENSG00000140798","MGI:2441679","ATP binding cassette subfamily C"
"ABCC13","ATP binding cassette subfamily C member 13 (pseudogene)",150000,"ENSG00000243064","","ATP binding cassette subfamily C"
"ABCD1","ATP binding cassette subfamily D member 1",215,"ENSG00000101986","MGI:1349215","ATP binding cassette subfamily D"
"ABCD1P1","ATP binding cassette subfamily D member 1 pseudogene 1",23785,"","",""
"ABCD1P2","ATP binding cassette subfamily D member 1 pseudogene 2",26983,"ENSG00000215151","",""
"ABCD1P3","ATP binding cassette subfamily D member 1 pseudogene 3",26982,"ENSG00000261233","",""
"ABCD1P4","ATP binding cassette subfamily D member 1 pseudogene 4",26957,"ENSG00000225293","",""
"ABCD1P5","ATP binding cassette subfamily D member 1 pseudogene 5",642762,"ENSG00000214330","",""
"ABCD2","ATP binding cassette subfamily D member 2",225,"ENSG00000173208","MGI:1349467","ATP binding cassette subfamily D"
"ABCD3","ATP binding cassette subfamily D member 3",5825,"ENSG00000117528","MGI:1349216","ATP binding cassette subfamily D|GOLD domain containing"
